Batch_Run_Order	Plate_Position	Batch_Number	Sample.ID	Class
1	Y:A3	3	Instrument_Blank	QAQC
2	R:J7	3	Water	QAQC
3	R:H9	3	 NIST1950	QAQC
4	R:D9	3	AM-S-Y2405	QAQC
5	R:N7	3	AM-S-Y2505	QAQC
6	Y:A3	3	Instrument_Blank	QAQC
7	R:B3	3	HRE.p1Std.112020	QAQC
8	R:F5	3	HRE.p2Std.112020	QAQC
9	R:A1	3	K0817129	QAQC
10	R:A3	3	K0817137	QAQC
11	R:A5	3	K0817145	QAQC
12	R:A7	3	K0817153	QAQC
13	R:A9	3	K0817161	QAQC
14	R:A11	3	K0816412	QAQC
15	R:A13	3	K0817177	QAQC
16	R:A15	3	K0817185	QAQC
17	R:A17	3	K0817193	QAQC
18	R:A19	3	K0817201	QAQC
19	R:C1	3	K0817130	QAQC
20	R:C3	3	K0816396	QAQC
21	R:C5	3	K0817146	QAQC
22	R:C7	3	K0817154	QAQC
23	R:C9	3	K0817162	QAQC
24	R:C11	3	K0817170	QAQC
25	R:C13	3	K0817178	QAQC
26	R:C15	3	K0817186	QAQC
27	R:C17	3	K0817194	QAQC
28	R:C19	3	K0817202	QAQC
29	R:D3	3	HRE.p1Std.112020	QAQC
30	R:H5	3	HRE.p2Std.112020	QAQC
31	R:E1	3	K0817131	QAQC
32	R:E3	3	K0817139	QAQC
33	R:E5	3	K0805728	QAQC
34	R:E7	3	K0817155	QAQC
35	R:E9	3	K0817163	QAQC
36	R:E11	3	K0817171	QAQC
37	R:E13	3	K0817179	QAQC
38	R:E15	3	K0817187	QAQC
39	R:E17	3	K0817195	QAQC
40	R:E19	3	K0817203	QAQC
41	R:G1	3	K0817132	QAQC
42	R:G3	3	K0817140	QAQC
43	R:G5	3	K0817148	QAQC
44	R:G7	3	K0817156	QAQC
45	R:G9	3	K0817164	QAQC
46	R:G11	3	K0817172	QAQC
47	R:G13	3	K0817180	QAQC
48	R:G15	3	K0817188	QAQC
49	R:G17	3	K0817196	QAQC
50	R:G19	3	K0817204	QAQC
51	R:F3	3	HRE.p1Std.112020	QAQC
52	R:J5	3	HRE.p2Std.112020	QAQC
53	R:I1	3	K0817701	QAQC
54	R:I3	3	K0817709	QAQC
55	R:I5	3	K0817717	QAQC
56	R:I7	3	K0817725	QAQC
57	R:I9	3	K0817733	QAQC
58	R:I11	3	K0817741	QAQC
59	R:I13	3	K0817749	QAQC
60	R:I15	3	K0817757	QAQC
61	R:I17	3	K0817765	QAQC
62	R:I19	3	K0817773	QAQC
63	R:K1	3	K0817702	QAQC
64	R:K3	3	K0817710	QAQC
65	R:K5	3	K0817718	QAQC
66	R:K7	3	K0817726	QAQC
67	R:K9	3	K0817734	QAQC
68	R:K11	3	K0817742	QAQC
69	R:K13	3	K0817750	QAQC
70	R:K15	3	K0817758	QAQC
71	R:K17	3	K0817766	QAQC
72	R:K19	3	K0817774	QAQC
73	R:H3	3	HRE.p1Std.112020	QAQC
74	R:L5	3	HRE.p2Std.112020	QAQC
75	R:M1	3	K0817712	QAQC
76	R:M3	3	K0817711	QAQC
77	R:M5	3	K0817728	QAQC
78	R:M7	3	K0817727	QAQC
79	R:M9	3	K0817744	QAQC
80	R:M11	3	K0817743	QAQC
81	R:M13	3	K0817760	QAQC
82	R:M15	3	K0817759	QAQC
83	R:M17	3	K0817776	QAQC
84	R:M19	3	K0817775	QAQC
85	R:O1	3	K0817713	QAQC
86	R:O3	3	K0817704	QAQC
87	R:O5	3	K0817729	QAQC
88	R:O7	3	K0817720	QAQC
89	R:O9	3	K0817745	QAQC
90	R:O11	3	K0817736	QAQC
91	R:O13	3	K0817761	QAQC
92	R:O15	3	K0817752	QAQC
93	R:O17	3	K0817777	QAQC
94	R:O19	3	K0817768	QAQC
95	R:J3	3	HRE.p1Std.112020	QAQC
96	R:N5	3	HRE.p2Std.112020	QAQC
97	R:P7	3	AM-S-Y2505	QAQC
98	Y:A3	3	Instrument_Blank	QAQC
99	R:B1	3	FBS_0ng-mL	QAQC
100	R:D1	3	FBS_0.05ng-mL	QAQC
101	R:F1	3	FBS_0.1ng-mL	QAQC
102	R:H1	3	FBS_0.5ng-mL	QAQC
103	R:J1	3	FBS_1ng-mL	QAQC
104	R:L1	3	FBS_5ng-mL	QAQC
105	R:N1	3	FBS_10ng-mL	QAQC
106	R:P1	3	FBS_40ng-mL	QAQC
107	Y:A3	3	Instrument_Blank	QAQC
108	R:L3	3	HRE.p1Std.112020	QAQC
109	R:P5	3	HRE.p2Std.112020	QAQC
110	R:A2	3	K0819337	QAQC
111	R:A4	3	K0819345	QAQC
112	R:A6	3	K0819353	QAQC
113	R:A8	3	K0819361	QAQC
114	R:A10	3	K0819369	QAQC
115	R:A12	3	K0819377	QAQC
116	R:A14	3	K0819385	QAQC
117	R:A16	3	K0819393	QAQC
118	R:A18	3	K0819401	QAQC
119	R:A20	3	K0819409	QAQC
120	R:C2	3	K0819338	QAQC
121	R:C4	3	K0819346	QAQC
122	R:C6	3	K0819354	QAQC
123	R:C8	3	K0819362	QAQC
124	R:C10	3	K0819370	QAQC
125	R:C12	3	K0819378	QAQC
126	R:C14	3	K0819386	QAQC
127	R:C16	3	K0819394	QAQC
128	R:C18	3	K0819402	QAQC
129	R:C20	3	K0819410	QAQC
130	R:N3	3	HRE.p1Std.112020	QAQC
131	R:B7	3	HRE.p2Std.112020	QAQC
132	R:E2	3	K0819339	QAQC
133	R:E4	3	K0819347	QAQC
134	R:E6	3	K0819355	QAQC
135	R:E8	3	K0819363	QAQC
136	R:E10	3	K0819371	QAQC
137	R:E12	3	K0819379	QAQC
138	R:E14	3	K0819387	QAQC
139	R:E16	3	K0819395	QAQC
140	R:E18	3	K0819403	QAQC
141	R:E20	3	K0819411	QAQC
142	R:G2	3	K0819340	QAQC
143	R:G4	3	K0819348	QAQC
144	R:G6	3	K0819356	QAQC
145	R:G8	3	K0819364	QAQC
146	R:G10	3	K0819372	QAQC
147	R:G12	3	K0819380	QAQC
148	R:G14	3	K0819388	QAQC
149	R:G16	3	K0819396	QAQC
150	R:G18	3	K0819404	QAQC
151	R:G20	3	K0819412	QAQC
152	R:P3	3	HRE.p1Std.112020	QAQC
153	R:D7	3	HRE.p2Std.112020	QAQC
154	R:I2	3	K0816549	QAQC
155	R:I4	3	K0816557	QAQC
156	R:I6	3	K0816565	QAQC
157	R:I8	3	K0816573	QAQC
158	R:I10	3	K0816581	QAQC
159	R:I12	3	K0816589	QAQC
160	R:I14	3	K0816597	QAQC
161	R:I16	3	K0816605	QAQC
162	R:I18	3	K0816613	QAQC
163	R:I20	3	K0816621	QAQC
164	R:K2	3	K0816550	QAQC
165	R:K4	3	K0816558	QAQC
166	R:K6	3	K0816566	QAQC
167	R:K8	3	K0816574	QAQC
168	R:K10	3	K0816582	QAQC
169	R:K12	3	K0816590	QAQC
170	R:K14	3	K0816598	QAQC
171	R:K16	3	K0816606	QAQC
172	R:K18	3	K0816614	QAQC
173	R:K20	3	K0816622	QAQC
174	R:B5	3	HRE.p1Std.112020	QAQC
175	R:F7	3	HRE.p2Std.112020	QAQC
176	R:M2	3	K0816551	QAQC
177	R:M4	3	K0816559	QAQC
178	R:M6	3	K0814748	QAQC
179	R:M8	3	K0816575	QAQC
180	R:M10	3	K0816583	QAQC
181	R:M12	3	K0816591	QAQC
182	R:M14	3	K0816599	QAQC
183	R:M16	3	K0816607	QAQC
184	R:M18	3	K0816615	QAQC
185	R:M20	3	K0816623	QAQC
186	R:O2	3	K0816552	QAQC
187	R:O4	3	K0816560	QAQC
188	R:O6	3	K0816568	QAQC
189	R:O8	3	K0816576	QAQC
190	R:O10	3	K0816584	QAQC
191	R:O12	3	K0816592	QAQC
192	R:O14	3	K0816600	QAQC
193	R:O16	3	K0816608	QAQC
194	R:O18	3	K0816616	QAQC
195	R:O20	3	K0816624	QAQC
196	R:D5	3	HRE.p1Std.112020	QAQC
197	R:H7	3	HRE.p2Std.112020	QAQC
198	R:F9	3	AM-S-Y2405	QAQC
199	R:B9	3	AM-S-Y2505	QAQC
200	Y:A3	3	Instrument_Blank	QAQC
201	R:J9	3	FBS_0.1ng-mL	QAQC
202	R:L7	3	Water	QAQC
203	Y:A3	3	Instrument_Blank	QAQC
