Batch_Run_Order	Plate_Position	Batch_Number	Sample.ID	Class
77	G:K11	2	K0823026	QAQC
78	G:K13	2	K0823034	QAQC
79	G:H3	2	HRE.p1Std.112020	QAQC
80	G:B5	2	HRE.p2Std.112020	QAQC
81	G:K15	2	K0823042	QAQC
82	G:K17	2	K0823050	QAQC
83	G:K19	2	K0823058	QAQC
84	G:M1	2	K0822987	QAQC
85	G:M3	2	K0822995	QAQC
86	G:M5	2	K0823003	QAQC
87	G:M7	2	K0823011	QAQC
88	G:M9	2	K0823019	QAQC
89	G:M11	2	K0823027	QAQC
90	G:M13	2	K0823035	QAQC
91	G:M15	2	K0823043	QAQC
92	G:M17	2	K0823051	QAQC
93	G:M19	2	K0823059	QAQC
94	G:O1	2	K0822988	QAQC
95	G:O3	2	K0822996	QAQC
96	G:O5	2	K0823004	QAQC
97	G:O7	2	K0823012	QAQC
98	G:O9	2	K0823020	QAQC
99	G:O11	2	K0823028	QAQC
100	G:O13	2	K0823036	QAQC
101	G:O15	2	K0823044	QAQC
102	G:O17	2	K0823052	QAQC
103	G:O19	2	K0823060	QAQC
104	G:J3	2	HRE.p1Std.112020	QAQC
105	G:D5	2	HRE.p2Std.112020	QAQC
106	G:P5	2	FBS_0.1ng-mL	QAQC
107	G:J5	2	AM-S-Y2405	QAQC
108	Y:A3	2	Instrument_Blank	QAQC
109	G:H5	2	Water	QAQC
110	G:N11	2	 NIST1950	QAQC
111	G:J11	2	AM-S-Y2504	QAQC
112	Y:A3	2	Instrument_Blank	QAQC
113	G:B9	2	HRE.p1Std.112020	QAQC
114	G:L9	2	HRE.p2Std.112020	QAQC
115	G:A2	2	K0817714	QAQC
116	G:A4	2	K0817705	QAQC
117	G:A6	2	K0817730	QAQC
118	G:A8	2	K0817721	QAQC
119	G:A10	2	K0817746	QAQC
120	G:A12	2	K0817737	QAQC
121	G:A14	2	K0817762	QAQC
122	G:A16	2	K0817753	QAQC
123	G:A18	2	K0808456	QAQC
124	G:A20	2	K0817769	QAQC
125	G:C2	2	K0817715	QAQC
126	G:C4	2	K0817706	QAQC
127	G:C6	2	K0817731	QAQC
128	G:C8	2	K0817722	QAQC
129	G:C10	2	K0817747	QAQC
130	G:C12	2	K0817738	QAQC
131	G:C14	2	K0817763	QAQC
132	G:C16	2	K0817754	QAQC
133	G:C18	2	K0817778	QAQC
134	G:C20	2	K0817770	QAQC
135	G:E2	2	K0817716	QAQC
136	G:E4	2	K0816546	QAQC
137	G:D9	2	HRE.p1Std.112020	QAQC
138	G:N9	2	HRE.p2Std.112020	QAQC
139	G:E6	2	K0817732	QAQC
140	G:E8	2	K0817723	QAQC
141	G:E10	2	K0817748	QAQC
142	G:E12	2	K0817739	QAQC
143	G:E14	2	K0817764	QAQC
144	G:E16	2	K0817755	QAQC
145	G:E18	2	K0817779	QAQC
146	G:E20	2	K0817771	QAQC
147	G:G2	2	K0808397	QAQC
148	G:G4	2	K0817708	QAQC
149	G:G6	2	K0808413	QAQC
150	G:G8	2	K0817724	QAQC
151	G:G10	2	K0808429	QAQC
152	Y:A3	2	Instrument_Blank	QAQC
153	G:B7	2	FBS_0ng-mL	QAQC
154	G:D7	2	FBS_0.05ng-mL	QAQC
155	G:F7	2	FBS_0.1ng-mL	QAQC
156	G:H7	2	FBS_0.5ng-mL	QAQC
157	G:J7	2	FBS_1ng-mL	QAQC
158	G:L7	2	FBS_5ng-mL	QAQC
159	G:N7	2	FBS_10ng-mL	QAQC
160	G:P7	2	FBS_40ng-mL	QAQC
161	Y:A3	2	Instrument_Blank	QAQC
162	G:F9	2	HRE.p1Std.112020	QAQC
163	G:P9	2	HRE.p2Std.112020	QAQC
164	G:G12	2	K0817740	QAQC
165	G:G14	2	K0808445	QAQC
166	G:G16	2	K0817756	QAQC
167	G:G18	2	K0817780	QAQC
168	G:G20	2	K0817772	QAQC
169	G:I2	2	K0808398	QAQC
170	G:I4	2	K0808389	QAQC
171	G:I6	2	K0808414	QAQC
172	G:I8	2	K0808405	QAQC
173	G:I10	2	K0808430	QAQC
174	G:I12	2	K0808421	QAQC
175	G:I14	2	K0808446	QAQC
176	G:I16	2	K0808438	QAQC
177	G:I18	2	K0808461	QAQC
178	G:I20	2	K0808453	QAQC
179	G:K2	2	K0808399	QAQC
180	G:K4	2	K0804212	QAQC
181	G:K6	2	K0808415	QAQC
182	G:K8	2	K0808406	QAQC
183	G:K10	2	K0808431	QAQC
184	G:K12	2	K0808422	QAQC
185	G:K14	2	K0808447	QAQC
186	G:H9	2	HRE.p1Std.112020	QAQC
187	G:B11	2	HRE.p2Std.112020	QAQC
188	G:K16	2	K0808437	QAQC
189	G:K18	2	K0808462	QAQC
190	G:K20	2	K0808454	QAQC
191	G:M2	2	K0754690	QAQC
192	G:M4	2	K0808391	QAQC
193	G:M6	2	K0808416	QAQC
194	G:M8	2	K0808407	QAQC
195	G:M10	2	K0808432	QAQC
196	G:M12	2	K0808423	QAQC
197	G:M14	2	K0808448	QAQC
198	G:M16	2	K0808440	QAQC
199	G:M18	2	K0808463	QAQC
200	G:M20	2	K0808455	QAQC
201	G:O2	2	K0808401	QAQC
202	G:O4	2	K0808392	QAQC
203	G:O6	2	K0808417	QAQC
204	G:O8	2	K0808408	QAQC
205	G:O10	2	K0808433	QAQC
206	G:O12	2	K0808424	QAQC
207	G:O14	2	K0808449	QAQC
208	G:O16	2	K0808439	QAQC
209	G:O18	2	K0808464	QAQC
210	G:O20	2	K0808465	QAQC
211	G:J9	2	HRE.p1Std.112020	QAQC
212	G:D11	2	HRE.p2Std.112020	QAQC
213	G:P11	2	FBS_0.1ng-mL	QAQC
214	G:L11	2	AM-S-Y2504	QAQC
215	Y:A3	2	Instrument_Blank	QAQC
216	G:H11	2	Water	QAQC
217	Y:A3	2	Instrument_Blank	QAQC
