Batch_Run_Order	Plate_Position	Batch_Number	Sample.ID	Class
1	Y:A3	2	Instrument_Blank	QAQC
2	G:F5	2	Water	QAQC
3	G:N5	2	 NIST1950	QAQC
4	G:L5	2	AM-S-Y2504	QAQC
5	Y:A3	2	Instrument_Blank	QAQC
6	G:B3	2	HRE.p1Std.112020	QAQC
7	G:L3	2	HRE.p2Std.112020	QAQC
8	G:A1	2	K0822981	QAQC
9	G:A3	2	K0822989	QAQC
10	G:A5	2	K0822997	QAQC
11	G:A7	2	K0823005	QAQC
12	G:A9	2	K0823013	QAQC
13	G:A11	2	K0823021	QAQC
14	G:A13	2	K0823029	QAQC
15	G:A15	2	K0823037	QAQC
16	G:A17	2	K0823045	QAQC
17	G:A19	2	K0823053	QAQC
18	G:C1	2	K0814776	QAQC
19	G:C3	2	K0822990	QAQC
20	G:C5	2	K0822998	QAQC
21	G:C7	2	K0823006	QAQC
22	G:C9	2	K0823014	QAQC
23	G:C11	2	K0823022	QAQC
24	G:C13	2	K0823030	QAQC
25	G:C15	2	K0823038	QAQC
26	G:C17	2	K0823046	QAQC
27	G:C19	2	K0823054	QAQC
28	G:E1	2	K0822983	QAQC
29	G:E3	2	K0822991	QAQC
30	G:D3	2	HRE.p1Std.112020	QAQC
31	G:N3	2	HRE.p2Std.112020	QAQC
32	G:E5	2	K0822999	QAQC
33	G:E7	2	K0823007	QAQC
34	G:E9	2	K0823015	QAQC
35	G:E11	2	K0823023	QAQC
36	G:E13	2	K0823031	QAQC
37	G:E15	2	K0823039	QAQC
38	G:E17	2	K0823047	QAQC
39	G:E19	2	K0823055	QAQC
40	G:G1	2	K0822984	QAQC
41	G:G3	2	K0822992	QAQC
42	G:G5	2	K0823000	QAQC
43	G:G7	2	K0823008	QAQC
44	G:G9	2	K0823016	QAQC
45	Y:A3	2	Instrument_Blank	QAQC
46	G:B1	2	FBS_0ng-mL	QAQC
47	G:D1	2	FBS_0.05ng-mL	QAQC
48	G:F1	2	FBS_0.1ng-mL	QAQC
49	G:H1	2	FBS_0.5ng-mL	QAQC
50	G:J1	2	FBS_1ng-mL	QAQC
51	G:L1	2	FBS_5ng-mL	QAQC
52	G:N1	2	FBS_10ng-mL	QAQC
53	G:P1	2	FBS_40ng-mL	QAQC
54	Y:A3	2	Instrument_Blank	QAQC
55	G:F3	2	HRE.p1Std.112020	QAQC
56	G:P3	2	HRE.p2Std.112020	QAQC
57	G:G11	2	K0823024	QAQC
58	G:G13	2	K0823032	QAQC
59	G:G15	2	K0823040	QAQC
60	G:G17	2	K0823048	QAQC
61	G:G19	2	K0823056	QAQC
62	G:I1	2	K0822985	QAQC
63	G:I3	2	K0822993	QAQC
64	G:I5	2	K0823001	QAQC
65	G:I7	2	K0823009	QAQC
66	G:I9	2	K0823017	QAQC
67	G:I11	2	K0823025	QAQC
68	G:I13	2	K0823033	QAQC
69	G:I15	2	K0823041	QAQC
70	G:I17	2	K0823049	QAQC
71	G:I19	2	K0823057	QAQC
72	G:K1	2	K0822986	QAQC
73	G:K3	2	K0822994	QAQC
74	G:K5	2	K0823002	QAQC
75	G:K7	2	K0823010	QAQC
76	G:K9	2	K0823018	QAQC
